[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	119.42	0.027	100.0%	0.001	100.0%	57.9	100.0%	0.132	100.0%	100.00%	28.9%	56.7%	14.4%	[1-0.43 0]
1	L	(3)	139.13	0.024	100.0%	0.001	100.0%	60.3	100.0%	0.110	100.0%	100.00%	27.6%	56.9%	15.5%	[1-0.43 0]
2	L	(3)	159.98	0.021	100.0%	0.001	100.0%	59.7	100.0%	0.097	100.0%	100.00%	28.4%	56.3%	15.3%	[1-0.43 0]
3	L	(3)	179.70	0.018	100.0%	0.001	100.0%	59.1	100.0%	0.086	100.0%	100.00%	28.3%	56.6%	15.1%	[1-0.43 0]
4	L	(3)	199.40	0.013	100.0%	0.001	100.0%	59.5	100.0%	0.062	100.0%	100.00%	28.4%	56.4%	15.2%	[1-0.43 0]
5	L	(3)	220.25	0.012	100.0%	0.001	100.0%	59.6	100.0%	0.056	100.0%	100.00%	28.6%	56.1%	15.3%	[1-0.43 0]
6	L	(3)	239.95	0.011	100.0%	0.001	100.0%	58.9	100.0%	0.052	100.0%	100.00%	29.3%	55.7%	15.0%	[1-0.43 0]
7	L	(3)	259.66	0.010	100.0%	0.001	100.0%	58.9	100.0%	0.048	100.0%	100.00%	28.9%	56.1%	15.1%	[1-0.43 0]
8	L	(3)	279.35	0.010	100.0%	0.001	100.0%	60.0	100.0%	0.044	100.0%	100.00%	28.9%	55.6%	15.5%	[1-0.43 0]
9	L	(3)	300.21	0.009	100.0%	0.001	100.0%	60.0	100.0%	0.041	100.0%	100.00%	28.9%	55.5%	15.5%	[1-0.43 0]
10	L	(3)	319.91	0.008	100.0%	0.001	100.0%	59.3	100.0%	0.039	100.0%	100.00%	28.5%	56.1%	15.3%	[1-0.43 0]
11	L	(3)	339.61	0.008	100.0%	0.001	100.0%	58.4	100.0%	0.036	100.0%	100.00%	28.5%	56.5%	15.0%	[1-0.43 0]
12	L	(3)	360.45	0.008	100.0%	0.001	100.0%	64.7	100.0%	0.034	100.0%	100.00%	32.5%	51.0%	16.5%	[1-0.43 0]
13	L	(3)	380.16	0.008	100.0%	0.001	100.0%	69.3	100.0%	0.033	100.0%	100.00%	36.0%	46.5%	17.5%	[1-0.43 0]
14	L	(3)	399.85	0.009	100.0%	0.001	100.0%	73.6	100.0%	0.032	100.0%	100.00%	39.5%	42.1%	18.4%	[1-0.43 0]
15	L	(3)	419.56	0.009	100.0%	0.001	100.0%	80.2	100.0%	0.032	100.0%	100.00%	43.6%	36.4%	20.1%	[1-0.43 0]
16	L	(3)	440.42	0.010	100.0%	0.001	100.0%	92.3	100.0%	0.031	100.0%	100.00%	44.8%	32.0%	23.2%	[1-0.43 0]
17	L	(3)	460.14	0.010	100.0%	0.001	100.0%	97.5	100.0%	0.029	100.0%	100.00%	42.5%	32.9%	24.6%	[1-0.43 0]
18	L	(3)	479.85	0.012	100.0%	0.002	100.0%	104.0	100.0%	0.031	100.0%	95.12%	40.6%	33.0%	26.4%	[1-0.43 0]
19	L	(3)	499.56	0.013	100.0%	0.002	100.0%	109.4	72.5%	0.033	100.0%	90.24%	38.7%	33.5%	27.8%	[1-0.43 0]
20	L	(3)	520.43	0.013	97.9%	0.002	97.9%	113.6	25.9%	0.032	94.4%	90.24%	36.6%	34.5%	28.9%	[1-0.43 0]
21	L	(3)	540.13	0.012	99.6%	0.002	99.6%	113.5	25.3%	0.031	96.3%	90.24%	36.8%	34.3%	28.9%	[1-0.43 0]
22	L	(3)	559.82	0.012	100.0%	0.002	100.0%	113.4	24.7%	0.029	98.3%	90.24%	36.8%	34.3%	28.9%	[1-0.43 0]
23	L	(3)	580.68	0.012	100.0%	0.002	100.0%	113.4	24.4%	0.028	99.3%	90.24%	36.8%	34.3%	28.9%	[1-0.43 0]
24	L	(3)	600.37	0.011	100.0%	0.002	100.0%	113.0	24.4%	0.028	98.9%	90.24%	37.2%	34.0%	28.8%	[1-0.43 0]
25	L	(3)	620.08	0.012	94.2%	0.002	94.2%	114.3	24.3%	0.029	91.0%	85.36%	37.0%	33.8%	29.2%	[1-0.43 0]
26	L	(3)	639.77	0.012	95.1%	0.002	95.1%	114.8	24.1%	0.028	92.0%	85.36%	37.3%	33.4%	29.4%	[1-0.43 0]
27	L	(3)	660.62	0.011	96.1%	0.002	96.1%	114.5	24.0%	0.028	93.1%	85.36%	37.6%	33.1%	29.3%	[1-0.43 0]
28	L	(3)	680.33	0.011	97.1%	0.002	97.1%	113.8	23.9%	0.027	94.1%	85.36%	37.8%	33.2%	29.0%	[1-0.43 0]
29	L	(3)	700.00	0.011	98.2%	0.002	98.2%	115.2	23.7%	0.026	95.3%	85.36%	37.5%	33.0%	29.5%	[1-0.43 0]
30	L	(3)	720.87	0.010	98.1%	0.002	98.1%	114.8	23.7%	0.025	95.2%	85.36%	37.5%	33.1%	29.4%	[1-0.43 0]
31	L	(3)	740.56	0.010	98.0%	0.002	98.0%	115.3	23.8%	0.025	95.1%	85.36%	37.3%	33.3%	29.5%	[1-0.43 0]
32	L	(3)	760.28	0.010	97.9%	0.002	97.9%	116.1	23.8%	0.024	94.9%	85.36%	37.2%	33.1%	29.7%	[1-0.43 0]
33	L	(3)	779.99	0.010	97.6%	0.002	97.6%	116.4	23.7%	0.023	94.7%	85.36%	37.3%	32.9%	29.8%	[1-0.43 0]
34	L	(3)	800.86	0.010	97.6%	0.002	97.6%	116.5	23.8%	0.023	94.6%	85.36%	37.4%	32.9%	29.7%	[1-0.43 0]
35	L	(3)	820.56	0.009	97.6%	0.002	97.6%	117.5	23.8%	0.022	94.6%	85.36%	37.1%	32.8%	30.1%	[1-0.43 0]
36	L	(3)	840.27	0.009	97.5%	0.002	97.5%	116.9	23.8%	0.022	94.5%	85.36%	36.9%	33.1%	30.0%	[1-0.43 0]
37	L	(3)	859.97	0.009	97.3%	0.002	97.3%	115.4	23.8%	0.021	94.3%	85.36%	36.4%	34.0%	29.6%	[1-0.43 0]
38	L	(3)	880.84	0.009	97.4%	0.002	97.4%	115.8	23.9%	0.020	94.4%	85.36%	36.1%	34.2%	29.7%	[1-0.43 0]
39	L	(3)	900.54	0.008	97.4%	0.002	97.4%	115.8	23.9%	0.020	94.4%	85.36%	35.9%	34.4%	29.7%	[1-0.43 0]
40	L	(3)	920.24	0.010	82.8%	0.003	82.8%	115.3	23.5%	0.024	79.4%	78.31%	36.1%	34.4%	29.5%	[1-0.43 0]
41	L	(3)	941.10	0.010	84.1%	0.003	84.1%	115.0	23.0%	0.023	80.9%	78.31%	36.3%	34.3%	29.4%	[1-0.43 0]
42	L	(3)	960.79	0.009	85.3%	0.003	85.3%	116.4	22.7%	0.023	82.3%	78.31%	36.2%	34.1%	29.7%	[1-0.43 0]
43	L	(3)	980.49	0.009	86.5%	0.003	86.5%	115.8	22.2%	0.022	83.6%	78.31%	36.0%	34.4%	29.6%	[1-0.43 0]
44	L	(3)	1000.19	0.009	87.8%	0.003	87.8%	115.7	21.7%	0.022	85.1%	78.31%	35.9%	34.6%	29.5%	[1-0.43 0]
45	L	(3)	1021.06	0.009	87.8%	0.003	87.8%	115.7	21.7%	0.021	85.1%	78.31%	35.8%	34.7%	29.5%	[1-0.43 0]
46	L	(3)	1040.77	0.009	87.7%	0.003	87.7%	115.6	21.7%	0.021	85.0%	78.31%	35.8%	34.7%	29.5%	[1-0.43 0]
47	L	(3)	1060.49	0.009	87.6%	0.003	87.6%	115.4	21.6%	0.021	84.9%	78.31%	36.3%	34.3%	29.4%	[1-0.43 0]
48	L	(3)	1080.22	0.008	87.5%	0.003	87.5%	115.5	21.7%	0.020	84.8%	78.31%	36.5%	34.1%	29.4%	[1-0.43 0]
49	L	(3)	1101.09	0.008	87.6%	0.003	87.6%	115.4	21.7%	0.020	84.8%	78.31%	36.9%	33.7%	29.4%	[1-0.43 0]
50	L	(3)	1120.83	0.008	87.5%	0.003	87.5%	115.0	21.8%	0.019	84.8%	78.31%	37.1%	33.6%	29.2%	[1-0.43 0]
51	L	(3)	1140.54	0.008	87.4%	0.003	87.4%	115.5	21.7%	0.019	84.7%	78.31%	36.9%	33.7%	29.4%	[1-0.43 0]
52	L	(3)	1160.25	0.008	87.4%	0.003	87.4%	115.3	21.8%	0.019	84.6%	78.31%	37.0%	33.7%	29.3%	[1-0.43 0]
53	L	(3)	1181.13	0.008	87.4%	0.003	87.4%	115.7	21.7%	0.018	84.6%	78.31%	36.9%	33.6%	29.6%	[1-0.43 0]
54	L	(3)	1200.85	0.008	87.3%	0.003	87.3%	116.2	21.7%	0.018	84.6%	78.31%	36.5%	33.7%	29.8%	[1-0.43 0]
55	L	(3)	1220.56	0.007	87.2%	0.003	87.2%	116.6	21.6%	0.018	84.5%	78.31%	36.3%	33.8%	29.9%	[1-0.43 0]
56	L	(3)	1240.26	0.007	87.2%	0.003	87.2%	116.4	21.6%	0.018	84.4%	78.31%	36.4%	33.7%	29.9%	[1-0.43 0]
57	L	(3)	1261.13	0.007	85.6%	0.003	85.6%	115.2	21.8%	0.017	82.8%	77.02%	31.6%	38.5%	29.9%	[1-0.43 0]
58	L	(3)	1280.83	0.009	75.5%	0.003	75.5%	123.8	21.4%	0.020	72.4%	72.14%	29.4%	38.2%	32.4%	[1-0.43 0]
59	L	(3)	1300.52	0.009	76.2%	0.003	76.2%	131.7	21.0%	0.019	73.2%	72.14%	27.4%	38.1%	34.5%	[1-0.43 0]
60	L	(3)	1321.39	0.010	72.0%	0.004	72.0%	133.5	20.5%	0.021	69.1%	67.26%	27.4%	37.6%	35.1%	[1-0.43 0]
61	L	(3)	1341.10	0.010	73.7%	0.004	73.7%	134.0	20.0%	0.021	71.0%	67.26%	27.2%	37.5%	35.2%	[1-0.43 0]
62	L	(3)	1360.79	0.010	74.2%	0.004	74.2%	136.7	19.3%	0.021	71.6%	67.26%	31.7%	32.6%	35.7%	[1-0.43 0]
63	L	(3)	1380.51	0.010	74.5%	0.004	74.5%	129.3	19.0%	0.021	72.1%	67.26%	33.8%	32.5%	33.6%	[1-0.43 0]
64	L	(3)	1401.38	0.009	75.1%	0.004	75.1%	122.0	18.7%	0.021	72.7%	67.26%	35.8%	32.5%	31.7%	[1-0.43 0]
65	L	(3)	1421.10	0.009	75.1%	0.004	75.1%	121.4	18.7%	0.020	72.7%	67.26%	35.6%	32.9%	31.5%	[1-0.43 0]
66	L	(3)	1440.80	0.009	75.1%	0.004	75.1%	122.2	18.7%	0.020	72.7%	67.26%	35.4%	32.8%	31.8%	[1-0.43 0]
67	L	(3)	1460.51	0.009	75.0%	0.004	75.0%	122.2	18.7%	0.020	72.7%	67.26%	35.3%	32.9%	31.9%	[1-0.43 0]
68	L	(3)	1481.39	0.009	75.1%	0.004	75.1%	122.4	18.8%	0.019	72.7%	67.26%	35.1%	33.1%	31.8%	[1-0.43 0]
69	L	(3)	1501.10	0.008	75.1%	0.004	75.1%	122.2	18.8%	0.019	72.7%	67.26%	35.1%	33.1%	31.8%	[1-0.43 0]
70	L	(3)	1520.81	0.009	73.9%	0.004	73.9%	123.0	18.8%	0.019	71.5%	66.38%	35.3%	32.8%	31.9%	[1-0.43 0]
71	L	(3)	1541.67	0.009	69.1%	0.004	69.1%	122.9	18.6%	0.021	66.5%	64.22%	35.5%	32.7%	31.8%	[1-0.43 0]
72	L	(3)	1561.39	0.009	69.7%	0.004	69.7%	123.1	18.4%	0.021	67.2%	64.22%	35.5%	32.6%	31.9%	[1-0.43 0]
73	L	(3)	1581.09	0.009	70.3%	0.004	70.3%	124.0	18.2%	0.020	67.9%	64.22%	35.6%	32.2%	32.2%	[1-0.43 0]
74	L	(3)	1600.80	0.009	71.0%	0.004	71.0%	124.2	18.1%	0.020	68.6%	64.22%	35.4%	32.3%	32.3%	[1-0.43 0]
75	L	(3)	1621.68	0.009	66.2%	0.004	66.2%	122.7	17.6%	0.021	63.9%	62.05%	35.4%	32.7%	31.9%	[1-0.43 0]
76	L	(3)	1641.42	0.009	66.5%	0.004	66.5%	122.2	17.4%	0.021	64.2%	62.05%	35.2%	33.0%	31.8%	[1-0.43 0]
77	L	(3)	1661.11	0.009	66.7%	0.004	66.7%	121.4	17.2%	0.021	64.5%	62.05%	35.3%	33.2%	31.5%	[1-0.43 0]
78	L	(3)	1680.82	0.009	66.3%	0.004	66.3%	118.0	17.5%	0.021	64.0%	61.40%	34.0%	35.0%	31.0%	[1-0.43 0]
79	L	(3)	1701.68	0.009	66.6%	0.004	66.6%	116.5	18.0%	0.021	64.1%	60.90%	32.1%	36.9%	31.0%	[1-0.43 0]
80	L	(3)	1721.39	0.011	59.3%	0.005	59.3%	123.0	17.8%	0.024	56.5%	56.57%	30.7%	36.6%	32.7%	[1-0.43 0]
81	L	(3)	1741.10	0.011	58.8%	0.005	58.8%	126.4	17.7%	0.024	56.1%	55.29%	29.8%	36.6%	33.6%	[1-0.43 0]
82	L	(3)	1760.82	0.012	57.3%	0.006	57.3%	126.8	17.4%	0.025	54.6%	54.00%	28.8%	37.7%	33.6%	[1-0.43 0]
83	L	(3)	1781.70	0.012	58.4%	0.006	58.4%	128.7	16.6%	0.025	56.0%	54.00%	29.1%	37.3%	33.6%	[1-0.43 0]
84	L	(3)	1801.42	0.012	59.2%	0.006	59.2%	129.6	15.8%	0.025	57.0%	54.00%	29.8%	36.9%	33.3%	[1-0.43 0]
85	L	(3)	1821.14	0.010	58.7%	0.005	58.7%	109.0	15.6%	0.025	56.6%	53.12%	29.8%	42.5%	27.7%	[1-0.43 0]
86	L	(3)	1840.85	0.008	58.6%	0.004	58.6%	91.0	15.4%	0.025	56.5%	52.47%	29.7%	47.4%	22.9%	[1-0.43 0]
87	L	(3)	1861.71	0.006	59.9%	0.003	59.9%	71.7	16.1%	0.024	57.6%	52.47%	28.8%	53.6%	17.6%	[1-0.43 0]
88	L	(3)	1882.59	0.004	60.5%	0.002	60.5%	49.7	16.0%	0.024	58.4%	51.96%	26.5%	62.2%	11.4%	[1-0.43 0]
89	L	(3)	1901.13	0.002	62.1%	0.001	62.1%	28.2	15.8%	0.023	60.1%	51.96%	24.4%	70.2%	5.4%	[1-0.43 0]
90	L	(3)	1921.99	0.002	59.4%	0.001	59.4%	21.5	15.3%	0.024	57.3%	49.80%	23.7%	72.8%	3.4%	[1-0.43 0]
91	L	(3)	1941.70	0.001	60.3%	0.001	60.3%	15.2	14.3%	0.023	58.6%	49.80%	22.9%	75.7%	1.5%	[1-0.43 0]
92	L	(3)	1961.43	0.001	60.3%	0.001	60.3%	13.7	9.1%	0.023	59.6%	49.80%	23.2%	75.7%	1.1%	[1-0.43 0]
93	L	(3)	1981.13	0.001	60.9%	0.001	60.9%	14.4	9.2%	0.023	60.2%	49.80%	24.5%	74.1%	1.4%	[1-0.43 0]
94	L	(3)	2002.01	0.001	61.5%	0.001	61.5%	15.3	9.2%	0.023	60.8%	49.80%	26.1%	72.1%	1.7%	[1-0.43 0]
95	L	(3)	2021.72	0.001	61.4%	0.001	61.4%	15.4	9.0%	0.022	60.8%	49.80%	26.3%	71.9%	1.8%	[1-0.43 0]
96	L	(3)	2041.42	0.002	59.3%	0.001	59.3%	20.2	10.8%	0.023	58.3%	48.10%	24.9%	71.8%	3.3%	[1-0.43 0]
97	L	(3)	2061.14	0.003	58.9%	0.002	58.9%	33.3	12.1%	0.023	57.6%	48.10%	24.0%	68.9%	7.1%	[1-0.43 0]
98	L	(3)	2082.01	0.004	58.7%	0.002	58.7%	43.4	13.5%	0.023	57.2%	48.10%	23.2%	66.7%	10.1%	[1-0.43 0]
99	L	(3)	2101.72	0.004	58.8%	0.002	58.8%	48.8	13.8%	0.023	57.1%	48.10%	21.5%	66.7%	11.7%	[1-0.43 0]
100	L	(3)	2121.44	0.004	58.9%	0.003	58.9%	53.2	14.5%	0.023	57.1%	47.70%	20.0%	66.7%	13.3%	[1-0.43 0]
101	L	(3)	2141.13	0.004	59.6%	0.003	59.6%	53.2	14.5%	0.023	57.8%	47.70%	20.2%	66.5%	13.2%	[1-0.43 0]
102	L	(3)	2162.00	0.005	55.4%	0.003	55.4%	58.7	14.6%	0.025	53.4%	46.41%	21.8%	63.6%	14.5%	[1-0.43 0]
103	L	(3)	2181.71	0.006	55.3%	0.004	55.3%	65.1	14.1%	0.025	53.5%	46.41%	24.2%	59.6%	16.3%	[1-0.43 0]
104	L	(3)	2201.43	0.007	55.0%	0.004	55.0%	76.5	14.0%	0.025	53.2%	46.41%	27.2%	53.5%	19.3%	[1-0.43 0]
105	L	(3)	2222.29	0.008	54.2%	0.005	54.2%	90.0	13.8%	0.025	52.4%	46.41%	29.7%	47.5%	22.8%	[1-0.43 0]
106	L	(3)	2241.99	0.010	53.4%	0.006	53.4%	102.2	14.0%	0.026	51.6%	46.41%	32.0%	41.8%	26.2%	[1-0.43 0]
107	L	(3)	2261.69	0.009	53.5%	0.006	53.5%	100.5	14.1%	0.026	51.6%	46.41%	32.1%	42.2%	25.7%	[1-0.43 0]
108	L	(3)	2281.39	0.009	53.4%	0.006	53.4%	102.3	14.1%	0.025	51.5%	46.41%	32.0%	41.9%	26.1%	[1-0.43 0]
109	L	(3)	2302.24	0.009	53.5%	0.006	53.5%	102.8	14.1%	0.025	51.6%	46.41%	31.7%	42.1%	26.2%	[1-0.43 0]
110	L	(3)	2321.94	0.009	53.4%	0.006	53.4%	102.2	14.1%	0.025	51.6%	46.41%	31.8%	42.1%	26.1%	[1-0.43 0]
111	L	(3)	2341.64	0.009	52.1%	0.006	52.1%	99.8	13.7%	0.025	50.2%	45.53%	29.7%	44.9%	25.4%	[1-0.43 0]
112	L	(3)	2362.49	0.009	52.4%	0.006	52.4%	97.8	13.5%	0.025	50.6%	45.53%	27.6%	47.5%	25.0%	[1-0.43 0]
113	L	(3)	2382.22	0.008	52.7%	0.005	52.7%	94.4	13.5%	0.024	51.0%	45.53%	25.1%	50.8%	24.1%	[1-0.43 0]
114	L	(3)	2401.94	0.008	53.1%	0.005	53.1%	92.0	13.4%	0.024	51.3%	45.53%	22.9%	53.5%	23.6%	[1-0.43 0]
115	L	(3)	2421.66	0.007	53.3%	0.005	53.3%	89.3	13.0%	0.023	51.7%	45.53%	20.6%	56.5%	22.9%	[1-0.43 0]
116	L	(3)	2442.57	0.008	53.4%	0.005	53.4%	90.3	13.2%	0.023	51.7%	45.53%	20.6%	56.2%	23.3%	[1-0.43 0]
117	L	(3)	2462.27	0.008	52.5%	0.005	52.5%	90.4	13.1%	0.023	50.8%	44.88%	20.5%	56.2%	23.3%	[1-0.43 0]
118	L	(3)	2481.97	0.008	52.6%	0.005	52.6%	91.3	12.9%	0.023	51.0%	44.88%	20.5%	55.8%	23.7%	[1-0.43 0]
119	L	(3)	2501.67	0.008	52.7%	0.005	52.7%	92.9	12.9%	0.023	51.1%	44.88%	20.5%	55.4%	24.0%	[1-0.43 0]
120	L	(3)	2522.55	0.008	52.8%	0.005	52.8%	94.6	13.1%	0.023	51.2%	44.88%	20.6%	54.9%	24.5%	[1-0.43 0]
121	L	(3)	2542.25	0.008	52.9%	0.006	52.9%	95.8	12.9%	0.023	51.3%	44.88%	20.7%	54.5%	24.7%	[1-0.43 0]
122	L	(3)	2561.94	0.008	52.9%	0.006	52.9%	96.1	12.9%	0.023	51.3%	44.88%	20.7%	54.4%	24.8%	[1-0.43 0]
123	L	(3)	2581.65	0.008	52.7%	0.006	52.7%	95.8	13.0%	0.023	51.0%	44.54%	20.3%	54.9%	24.8%	[1-0.43 0]
124	L	(3)	2602.51	0.008	52.6%	0.006	52.6%	95.7	13.0%	0.023	50.9%	44.04%	20.1%	55.1%	24.8%	[1-0.43 0]
125	L	(3)	2622.21	0.008	50.2%	0.006	50.2%	95.4	12.8%	0.024	48.5%	43.16%	19.1%	56.0%	24.9%	[1-0.43 0]
126	L	(3)	2641.92	0.008	50.6%	0.006	50.6%	95.4	12.5%	0.024	49.0%	43.16%	18.6%	56.5%	24.9%	[1-0.43 0]
127	L	(3)	2662.81	0.008	51.0%	0.006	51.0%	95.6	12.4%	0.024	49.4%	43.16%	18.1%	56.9%	25.0%	[1-0.43 0]
128	L	(3)	2682.50	0.008	50.8%	0.006	50.8%	96.2	12.4%	0.024	49.2%	42.75%	17.4%	57.4%	25.2%	[1-0.43 0]
129	L	(3)	2702.21	0.008	50.8%	0.006	50.8%	96.1	12.2%	0.023	49.3%	42.75%	16.7%	58.2%	25.1%	[1-0.43 0]
130	L	(3)	2723.08	0.008	50.9%	0.006	50.9%	97.5	12.3%	0.023	49.4%	42.75%	17.0%	57.6%	25.4%	[1-0.43 0]
131	L	(3)	2742.79	0.008	51.1%	0.006	51.1%	98.1	12.4%	0.023	49.6%	42.75%	16.7%	57.9%	25.4%	[1-0.43 0]
132	L	(3)	2762.48	0.008	51.3%	0.006	51.3%	99.1	12.5%	0.023	49.8%	42.75%	16.7%	57.7%	25.6%	[1-0.43 0]
133	L	(3)	2783.35	0.008	51.2%	0.006	51.2%	100.7	12.4%	0.023	49.7%	42.75%	16.5%	57.3%	26.3%	[1-0.43 0]
134	L	(3)	2801.88	0.008	51.0%	0.007	51.0%	103.7	12.6%	0.023	49.5%	42.75%	16.7%	56.3%	26.9%	[1-0.43 0]
135	L	(3)	2822.79	0.008	51.1%	0.007	51.1%	103.4	12.6%	0.023	49.6%	42.75%	16.3%	56.9%	26.9%	[1-0.43 0]
136	L	(3)	2842.51	0.008	51.2%	0.007	51.2%	103.7	12.6%	0.022	49.7%	42.75%	15.7%	57.0%	27.3%	[1-0.43 0]
137	L	(3)	2863.41	0.008	51.2%	0.007	51.2%	104.2	12.5%	0.022	49.6%	42.75%	15.8%	56.8%	27.4%	[1-0.43 0]
138	L	(3)	2881.96	0.008	51.1%	0.007	51.1%	103.6	12.6%	0.022	49.5%	42.75%	16.3%	56.5%	27.1%	[1-0.43 0]
139	L	(3)	2902.82	0.008	51.3%	0.006	51.3%	101.1	12.5%	0.022	49.8%	42.75%	15.7%	57.7%	26.6%	[1-0.43 0]
140	L	(3)	2922.54	0.008	51.2%	0.006	51.2%	101.9	12.5%	0.022	49.6%	42.75%	16.3%	56.9%	26.8%	[1-0.43 0]
141	L	(3)	2942.26	0.008	48.2%	0.007	48.2%	100.9	12.3%	0.023	46.6%	41.87%	16.9%	56.7%	26.4%	[1-0.43 0]
142	L	(3)	2961.96	0.008	48.2%	0.007	48.2%	100.3	12.3%	0.023	46.6%	41.87%	17.1%	56.8%	26.1%	[1-0.43 0]
143	L	(3)	2981.99	0.008	48.1%	0.007	48.1%	99.9	12.0%	0.023	46.6%	41.87%	17.2%	56.7%	26.1%	[1-0.43 0]
144	L	(3)	3002.88	0.010	48.1%	0.009	48.1%	124.5	12.2%	0.023	46.5%	41.53%	16.3%	51.6%	32.1%	[1-0.43 0]
145	L	(3)	3022.58	0.013	48.8%	0.011	48.8%	147.5	12.4%	0.024	47.2%	41.53%	14.8%	47.5%	37.7%	[1-0.43 0]
146	L	(3)	3042.29	0.015	49.2%	0.013	49.2%	172.7	12.5%	0.024	47.5%	41.53%	13.7%	42.5%	43.8%	[1-0.43 0]
147	L	(3)	3063.16	0.021	52.1%	0.018	52.1%	220.4	19.7%	0.026	48.3%	41.25%	11.9%	35.2%	52.9%	[1-0.43 0]
148	L	(3)	3082.87	0.028	54.3%	0.024	54.3%	272.5	23.2%	0.028	49.0%	41.25%	10.3%	27.5%	62.2%	[1-0.43 0]
149	L	(3)	3102.58	0.032	54.7%	0.027	54.7%	293.2	24.1%	0.030	49.1%	41.25%	9.7%	25.2%	65.1%	[1-0.43 0]
150	L	(3)	3122.28	0.035	55.7%	0.030	55.7%	305.5	26.3%	0.032	49.1%	40.96%	10.3%	23.0%	66.8%	[1-0.43 0]
151	L	(3)	3143.14	0.036	57.8%	0.031	57.8%	311.6	28.2%	0.032	50.5%	40.96%	10.2%	22.2%	67.7%	[1-0.43 0]
152	L	(3)	3162.83	0.036	56.3%	0.031	56.3%	307.2	24.6%	0.032	50.7%	40.96%	10.9%	22.2%	66.9%	[1-0.43 0]
153	L	(3)	3182.53	0.032	56.9%	0.029	56.9%	291.3	23.2%	0.031	52.0%	40.96%	11.8%	23.3%	65.0%	[1-0.43 0]
154	L	(3)	3202.24	0.028	58.8%	0.025	58.8%	272.9	22.7%	0.029	54.3%	40.96%	12.4%	24.9%	62.7%	[1-0.43 0]
155	L	(3)	3223.11	0.027	59.8%	0.024	59.8%	269.5	20.7%	0.028	56.1%	40.72%	11.2%	25.6%	63.2%	[1-0.43 0]
156	L	(3)	3242.83	0.028	60.5%	0.025	60.5%	275.4	20.3%	0.028	57.1%	40.72%	11.1%	24.4%	64.5%	[1-0.43 0]
157	L	(3)	3262.54	0.025	63.8%	0.023	63.8%	264.7	20.2%	0.026	60.5%	40.72%	10.1%	25.6%	64.3%	[1-0.43 0]
158	L	(3)	3283.41	0.023	65.9%	0.021	65.9%	260.8	18.4%	0.025	63.3%	40.72%	9.1%	26.2%	64.7%	[1-0.43 0]
159	L	(3)	3303.12	0.024	67.0%	0.022	67.0%	266.7	18.7%	0.025	64.4%	40.72%	8.7%	25.3%	66.0%	[1-0.43 0]
160	L	(3)	3322.81	0.025	66.8%	0.023	66.8%	270.6	20.2%	0.025	63.6%	40.72%	9.0%	24.6%	66.4%	[1-0.43 0]
161	L	(3)	3342.50	0.025	67.8%	0.023	67.8%	275.0	19.8%	0.026	64.9%	40.50%	8.3%	24.1%	67.6%	[1-0.43 0]
162	L	(3)	3363.36	0.026	69.4%	0.024	69.4%	282.4	20.3%	0.026	66.3%	40.50%	8.0%	22.9%	69.1%	[1-0.43 0]
163	L	(3)	3383.05	0.027	70.8%	0.026	70.8%	291.3	21.4%	0.026	67.5%	40.50%	7.8%	21.5%	70.7%	[1-0.43 0]
164	L	(3)	3402.74	0.029	72.8%	0.027	72.8%	299.7	22.5%	0.026	69.2%	40.50%	7.5%	20.1%	72.4%	[1-0.43 0]
165	L	(3)	3423.61	0.029	74.2%	0.028	74.2%	306.1	21.8%	0.027	70.9%	40.50%	6.8%	19.6%	73.6%	[1-0.43 0]
166	L	(3)	3443.32	0.029	74.4%	0.028	74.4%	305.7	22.1%	0.027	71.0%	40.50%	6.9%	19.5%	73.6%	[1-0.43 0]
167	L	(3)	3463.02	0.030	73.9%	0.029	73.9%	308.4	22.6%	0.027	70.3%	40.50%	6.6%	19.6%	73.8%	[1-0.43 0]
168	L	(3)	3482.74	0.029	73.9%	0.028	73.9%	307.5	22.1%	0.026	70.5%	40.50%	6.6%	19.7%	73.8%	[1-0.43 0]
169	L	(3)	3503.63	0.029	73.5%	0.028	73.5%	306.5	21.4%	0.026	70.4%	40.50%	6.7%	19.7%	73.6%	[1-0.43 0]
170	L	(3)	3523.36	0.028	73.8%	0.028	73.8%	305.5	21.7%	0.026	70.5%	40.50%	6.7%	19.7%	73.6%	[1-0.43 0]
171	L	(3)	3543.06	0.028	74.0%	0.027	74.0%	304.3	21.3%	0.025	70.9%	40.50%	6.8%	19.6%	73.5%	[1-0.43 0]
172	L	(3)	3562.77	0.027	74.3%	0.027	74.3%	302.4	21.0%	0.025	71.3%	40.50%	7.0%	19.6%	73.4%	[1-0.43 0]
173	L	(3)	3583.63	0.027	74.3%	0.027	74.3%	302.2	20.9%	0.025	71.3%	40.50%	7.2%	19.3%	73.5%	[1-0.43 0]
174	L	(3)	3603.33	0.032	72.1%	0.032	72.1%	324.8	24.9%	0.028	67.6%	39.21%	7.9%	16.8%	75.3%	[1-0.43 0]
175	L	(3)	3623.03	0.034	69.6%	0.035	69.6%	330.8	25.7%	0.029	64.6%	39.21%	10.2%	14.5%	75.2%	[1-0.43 0]
